date,drawdown_scalar,target_vol_scalar,trend_scalar,final_risk_scalar,gross_exposure,risky_exposure,defensive_cash_proxy_exposure,turnover_cap_bound,reentry_state
2021-05-13,1.0,0.8048450006774219,0.95,0.7646027506435508,0.6696865753248262,0.6696865753248262,0.3303134246751738,True,0.7646027506435508
2021-05-14,1.0,0.8048450006774219,0.95,0.7646027506435508,0.6696865753248262,0.6696865753248262,0.3303134246751738,True,0.7646027506435508
2021-05-17,1.0,0.8048450006774219,0.95,0.7646027506435508,0.6696865753248262,0.6696865753248262,0.3303134246751738,True,0.7646027506435508
2021-05-18,1.0,0.8048450006774219,0.95,0.7646027506435508,0.6696865753248262,0.6696865753248262,0.3303134246751738,True,0.7646027506435508
2021-05-19,1.0,0.8048450006774219,0.95,0.7646027506435508,0.6696865753248262,0.6696865753248262,0.3303134246751738,True,0.7646027506435508
2021-05-20,1.0,0.8048450006774219,0.95,0.7646027506435508,0.6696865753248262,0.6696865753248262,0.3303134246751738,True,0.7646027506435508
2021-05-21,1.0,0.8048450006774219,0.95,0.7646027506435508,0.6696865753248262,0.6696865753248262,0.3303134246751738,True,0.7646027506435508
2021-05-24,1.0,0.8048450006774219,0.95,0.7646027506435508,0.6696865753248262,0.6696865753248262,0.3303134246751738,True,0.7646027506435508
2021-05-25,1.0,0.8048450006774219,0.95,0.7646027506435508,0.6696865753248262,0.6696865753248262,0.3303134246751738,True,0.7646027506435508
2021-05-26,1.0,0.8048450006774219,0.95,0.7646027506435508,0.6696865753248262,0.6696865753248262,0.3303134246751738,True,0.7646027506435508
2021-05-27,1.0,0.8048450006774219,0.95,0.7646027506435508,0.6696865753248262,0.6696865753248262,0.3303134246751738,True,0.7646027506435508
2021-05-28,1.0,0.8048450006774219,0.95,0.7646027506435508,0.6696865753248262,0.6696865753248262,0.3303134246751738,True,0.7646027506435508
2021-05-31,1.0,0.7868553952998126,0.95,0.747512625534822,0.747512625534822,0.747512625534822,0.252487374465178,False,0.747512625534822
2021-06-01,1.0,0.7868553952998126,0.95,0.747512625534822,0.747512625534822,0.747512625534822,0.252487374465178,False,0.747512625534822
2021-06-02,1.0,0.7868553952998126,0.95,0.747512625534822,0.747512625534822,0.747512625534822,0.252487374465178,False,0.747512625534822
2021-06-03,1.0,0.7868553952998126,0.95,0.747512625534822,0.747512625534822,0.747512625534822,0.252487374465178,False,0.747512625534822
2021-06-04,1.0,0.7868553952998126,0.95,0.747512625534822,0.747512625534822,0.747512625534822,0.252487374465178,False,0.747512625534822
2021-06-07,1.0,0.7868553952998126,0.95,0.747512625534822,0.747512625534822,0.747512625534822,0.252487374465178,False,0.747512625534822
2021-06-08,1.0,0.7868553952998126,0.95,0.747512625534822,0.747512625534822,0.747512625534822,0.252487374465178,False,0.747512625534822
2021-06-09,1.0,0.7868553952998126,0.95,0.747512625534822,0.747512625534822,0.747512625534822,0.252487374465178,False,0.747512625534822
2021-06-10,1.0,0.7868553952998126,0.95,0.747512625534822,0.747512625534822,0.747512625534822,0.252487374465178,False,0.747512625534822
2021-06-11,1.0,0.7868553952998126,0.95,0.747512625534822,0.747512625534822,0.747512625534822,0.252487374465178,False,0.747512625534822
2021-06-15,1.0,0.7868553952998126,0.95,0.747512625534822,0.747512625534822,0.747512625534822,0.252487374465178,False,0.747512625534822
2021-06-16,1.0,0.7868553952998126,0.95,0.747512625534822,0.747512625534822,0.747512625534822,0.252487374465178,False,0.747512625534822
2021-06-17,1.0,0.7868553952998126,0.95,0.747512625534822,0.747512625534822,0.747512625534822,0.252487374465178,False,0.747512625534822
2021-06-18,1.0,0.7868553952998126,0.95,0.747512625534822,0.747512625534822,0.747512625534822,0.252487374465178,False,0.747512625534822
2021-06-21,1.0,0.7868553952998126,0.95,0.747512625534822,0.747512625534822,0.747512625534822,0.252487374465178,False,0.747512625534822
2021-06-22,1.0,0.7868553952998126,0.95,0.747512625534822,0.747512625534822,0.747512625534822,0.252487374465178,False,0.747512625534822
2021-06-23,1.0,0.7868553952998126,0.95,0.747512625534822,0.747512625534822,0.747512625534822,0.252487374465178,False,0.747512625534822
2021-06-24,1.0,0.7868553952998126,0.95,0.747512625534822,0.747512625534822,0.747512625534822,0.252487374465178,False,0.747512625534822
2021-06-25,1.0,0.7868553952998126,0.95,0.747512625534822,0.747512625534822,0.747512625534822,0.252487374465178,False,0.747512625534822
2021-06-28,1.0,0.7868553952998126,0.95,0.747512625534822,0.747512625534822,0.747512625534822,0.252487374465178,False,0.747512625534822
2021-06-29,1.0,0.7868553952998126,0.95,0.747512625534822,0.747512625534822,0.747512625534822,0.252487374465178,False,0.747512625534822
2021-06-30,1.0,0.8468126255198108,0.95,0.8044719942438203,0.8044719942438204,0.8044719942438204,0.19552800575617957,False,0.8044719942438203
2021-07-01,1.0,0.8468126255198108,0.95,0.8044719942438203,0.8044719942438204,0.8044719942438204,0.19552800575617957,False,0.8044719942438203
2021-07-02,1.0,0.8468126255198108,0.95,0.8044719942438203,0.8044719942438204,0.8044719942438204,0.19552800575617957,False,0.8044719942438203
2021-07-05,1.0,0.8468126255198108,0.95,0.8044719942438203,0.8044719942438204,0.8044719942438204,0.19552800575617957,False,0.8044719942438203
2021-07-06,1.0,0.8468126255198108,0.95,0.8044719942438203,0.8044719942438204,0.8044719942438204,0.19552800575617957,False,0.8044719942438203
2021-07-07,1.0,0.8468126255198108,0.95,0.8044719942438203,0.8044719942438204,0.8044719942438204,0.19552800575617957,False,0.8044719942438203
2021-07-08,1.0,0.8468126255198108,0.95,0.8044719942438203,0.8044719942438204,0.8044719942438204,0.19552800575617957,False,0.8044719942438203
2021-07-09,1.0,0.8468126255198108,0.95,0.8044719942438203,0.8044719942438204,0.8044719942438204,0.19552800575617957,False,0.8044719942438203
2021-07-12,1.0,0.8468126255198108,0.95,0.8044719942438203,0.8044719942438204,0.8044719942438204,0.19552800575617957,False,0.8044719942438203
2021-07-13,1.0,0.8468126255198108,0.95,0.8044719942438203,0.8044719942438204,0.8044719942438204,0.19552800575617957,False,0.8044719942438203
2021-07-14,1.0,0.8468126255198108,0.95,0.8044719942438203,0.8044719942438204,0.8044719942438204,0.19552800575617957,False,0.8044719942438203
2021-07-15,1.0,0.8468126255198108,0.95,0.8044719942438203,0.8044719942438204,0.8044719942438204,0.19552800575617957,False,0.8044719942438203
2021-07-16,1.0,0.8468126255198108,0.95,0.8044719942438203,0.8044719942438204,0.8044719942438204,0.19552800575617957,False,0.8044719942438203
2021-07-19,1.0,0.8468126255198108,0.95,0.8044719942438203,0.8044719942438204,0.8044719942438204,0.19552800575617957,False,0.8044719942438203
2021-07-20,1.0,0.8468126255198108,0.95,0.8044719942438203,0.8044719942438204,0.8044719942438204,0.19552800575617957,False,0.8044719942438203
2021-07-21,1.0,0.8468126255198108,0.95,0.8044719942438203,0.8044719942438204,0.8044719942438204,0.19552800575617957,False,0.8044719942438203
2021-07-22,1.0,0.8468126255198108,0.95,0.8044719942438203,0.8044719942438204,0.8044719942438204,0.19552800575617957,False,0.8044719942438203
2021-07-23,1.0,0.8468126255198108,0.95,0.8044719942438203,0.8044719942438204,0.8044719942438204,0.19552800575617957,False,0.8044719942438203
2021-07-26,1.0,0.8468126255198108,0.95,0.8044719942438203,0.8044719942438204,0.8044719942438204,0.19552800575617957,False,0.8044719942438203
2021-07-27,1.0,0.8468126255198108,0.95,0.8044719942438203,0.8044719942438204,0.8044719942438204,0.19552800575617957,False,0.8044719942438203
2021-07-28,1.0,0.8468126255198108,0.95,0.8044719942438203,0.8044719942438204,0.8044719942438204,0.19552800575617957,False,0.8044719942438203
2021-07-29,1.0,0.8468126255198108,0.95,0.8044719942438203,0.8044719942438204,0.8044719942438204,0.19552800575617957,False,0.8044719942438203
2021-07-30,1.0,0.7974606170930308,0.95,0.7575875862383793,0.757587586238379,0.757587586238379,0.24241241376162104,False,0.7575875862383793
2021-08-02,1.0,0.7974606170930308,0.95,0.7575875862383793,0.757587586238379,0.757587586238379,0.24241241376162104,False,0.7575875862383793
2021-08-03,1.0,0.7974606170930308,0.95,0.7575875862383793,0.757587586238379,0.757587586238379,0.24241241376162104,False,0.7575875862383793
2021-08-04,1.0,0.7974606170930308,0.95,0.7575875862383793,0.757587586238379,0.757587586238379,0.24241241376162104,False,0.7575875862383793
2021-08-05,1.0,0.7974606170930308,0.95,0.7575875862383793,0.757587586238379,0.757587586238379,0.24241241376162104,False,0.7575875862383793
2021-08-06,1.0,0.7974606170930308,0.95,0.7575875862383793,0.757587586238379,0.757587586238379,0.24241241376162104,False,0.7575875862383793
2021-08-09,1.0,0.7974606170930308,0.95,0.7575875862383793,0.757587586238379,0.757587586238379,0.24241241376162104,False,0.7575875862383793
2021-08-10,1.0,0.7974606170930308,0.95,0.7575875862383793,0.757587586238379,0.757587586238379,0.24241241376162104,False,0.7575875862383793
2021-08-11,1.0,0.7974606170930308,0.95,0.7575875862383793,0.757587586238379,0.757587586238379,0.24241241376162104,False,0.7575875862383793
2021-08-12,1.0,0.7974606170930308,0.95,0.7575875862383793,0.757587586238379,0.757587586238379,0.24241241376162104,False,0.7575875862383793
2021-08-13,1.0,0.7974606170930308,0.95,0.7575875862383793,0.757587586238379,0.757587586238379,0.24241241376162104,False,0.7575875862383793
2021-08-16,1.0,0.7974606170930308,0.95,0.7575875862383793,0.757587586238379,0.757587586238379,0.24241241376162104,False,0.7575875862383793
2021-08-17,1.0,0.7974606170930308,0.95,0.7575875862383793,0.757587586238379,0.757587586238379,0.24241241376162104,False,0.7575875862383793
2021-08-18,1.0,0.7974606170930308,0.95,0.7575875862383793,0.757587586238379,0.757587586238379,0.24241241376162104,False,0.7575875862383793
2021-08-19,1.0,0.7974606170930308,0.95,0.7575875862383793,0.757587586238379,0.757587586238379,0.24241241376162104,False,0.7575875862383793
2021-08-20,1.0,0.7974606170930308,0.95,0.7575875862383793,0.757587586238379,0.757587586238379,0.24241241376162104,False,0.7575875862383793
2021-08-23,1.0,0.7974606170930308,0.95,0.7575875862383793,0.757587586238379,0.757587586238379,0.24241241376162104,False,0.7575875862383793
2021-08-24,1.0,0.7974606170930308,0.95,0.7575875862383793,0.757587586238379,0.757587586238379,0.24241241376162104,False,0.7575875862383793
2021-08-25,1.0,0.7974606170930308,0.95,0.7575875862383793,0.757587586238379,0.757587586238379,0.24241241376162104,False,0.7575875862383793
2021-08-26,1.0,0.7974606170930308,0.95,0.7575875862383793,0.757587586238379,0.757587586238379,0.24241241376162104,False,0.7575875862383793
2021-08-27,1.0,0.7974606170930308,0.95,0.7575875862383793,0.757587586238379,0.757587586238379,0.24241241376162104,False,0.7575875862383793
2021-08-31,1.0,1.0,0.95,0.95,0.8594235796825792,0.8594235796825792,0.1405764203174208,True,0.95
2021-09-01,1.0,1.0,0.95,0.95,0.8594235796825792,0.8594235796825792,0.1405764203174208,True,0.95
2021-09-02,1.0,1.0,0.95,0.95,0.8594235796825792,0.8594235796825792,0.1405764203174208,True,0.95
2021-09-03,1.0,1.0,0.95,0.95,0.8594235796825792,0.8594235796825792,0.1405764203174208,True,0.95
2021-09-06,1.0,1.0,0.95,0.95,0.8594235796825792,0.8594235796825792,0.1405764203174208,True,0.95
2021-09-07,1.0,1.0,0.95,0.95,0.8594235796825792,0.8594235796825792,0.1405764203174208,True,0.95
2021-09-08,1.0,1.0,0.95,0.95,0.8594235796825792,0.8594235796825792,0.1405764203174208,True,0.95
2021-09-09,1.0,1.0,0.95,0.95,0.8594235796825792,0.8594235796825792,0.1405764203174208,True,0.95
2021-09-10,1.0,1.0,0.95,0.95,0.8594235796825792,0.8594235796825792,0.1405764203174208,True,0.95
2021-09-13,1.0,1.0,0.95,0.95,0.8594235796825792,0.8594235796825792,0.1405764203174208,True,0.95
2021-09-14,1.0,1.0,0.95,0.95,0.8594235796825792,0.8594235796825792,0.1405764203174208,True,0.95
2021-09-15,1.0,1.0,0.95,0.95,0.8594235796825792,0.8594235796825792,0.1405764203174208,True,0.95
2021-09-16,1.0,1.0,0.95,0.95,0.8594235796825792,0.8594235796825792,0.1405764203174208,True,0.95
2021-09-17,1.0,1.0,0.95,0.95,0.8594235796825792,0.8594235796825792,0.1405764203174208,True,0.95
2021-09-22,1.0,1.0,0.95,0.95,0.8594235796825792,0.8594235796825792,0.1405764203174208,True,0.95
2021-09-23,1.0,1.0,0.95,0.95,0.8594235796825792,0.8594235796825792,0.1405764203174208,True,0.95
2021-09-24,1.0,1.0,0.95,0.95,0.8594235796825792,0.8594235796825792,0.1405764203174208,True,0.95
2021-09-27,1.0,1.0,0.95,0.95,0.8594235796825792,0.8594235796825792,0.1405764203174208,True,0.95
2021-09-28,1.0,1.0,0.95,0.95,0.8594235796825792,0.8594235796825792,0.1405764203174208,True,0.95
2021-09-29,1.0,1.0,0.95,0.95,0.8594235796825792,0.8594235796825792,0.1405764203174208,True,0.95
2021-09-30,1.0,1.0,0.95,0.95,0.9609600040510677,0.9609600040510677,0.03903999594893226,True,0.95
2021-10-08,1.0,1.0,0.95,0.95,0.9609600040510677,0.9609600040510677,0.03903999594893226,True,0.95
2021-10-11,1.0,1.0,0.95,0.95,0.9609600040510677,0.9609600040510677,0.03903999594893226,True,0.95
2021-10-12,1.0,1.0,0.95,0.95,0.9609600040510677,0.9609600040510677,0.03903999594893226,True,0.95
2021-10-13,1.0,1.0,0.95,0.95,0.9609600040510677,0.9609600040510677,0.03903999594893226,True,0.95
2021-10-14,1.0,1.0,0.95,0.95,0.9609600040510677,0.9609600040510677,0.03903999594893226,True,0.95
2021-10-15,1.0,1.0,0.95,0.95,0.9609600040510677,0.9609600040510677,0.03903999594893226,True,0.95
2021-10-18,1.0,1.0,0.95,0.95,0.9609600040510677,0.9609600040510677,0.03903999594893226,True,0.95
2021-10-19,1.0,1.0,0.95,0.95,0.9609600040510677,0.9609600040510677,0.03903999594893226,True,0.95
2021-10-20,1.0,1.0,0.95,0.95,0.9609600040510677,0.9609600040510677,0.03903999594893226,True,0.95
2021-10-21,1.0,1.0,0.95,0.95,0.9609600040510677,0.9609600040510677,0.03903999594893226,True,0.95
2021-10-22,1.0,1.0,0.95,0.95,0.9609600040510677,0.9609600040510677,0.03903999594893226,True,0.95
2021-10-25,1.0,1.0,0.95,0.95,0.9609600040510677,0.9609600040510677,0.03903999594893226,True,0.95
2021-10-26,1.0,1.0,0.95,0.95,0.9609600040510677,0.9609600040510677,0.03903999594893226,True,0.95
2021-10-27,1.0,1.0,0.95,0.95,0.9609600040510677,0.9609600040510677,0.03903999594893226,True,0.95
2021-10-28,1.0,1.0,0.95,0.95,0.9609600040510677,0.9609600040510677,0.03903999594893226,True,0.95
2021-10-29,1.0,1.0,0.95,0.95,1.0213324120567286,1.0213324120567286,0.0,False,0.95
2021-11-01,1.0,1.0,0.95,0.95,1.0213324120567286,1.0213324120567286,0.0,False,0.95
2021-11-02,1.0,1.0,0.95,0.95,1.0213324120567286,1.0213324120567286,0.0,False,0.95
2021-11-03,1.0,1.0,0.95,0.95,1.0213324120567286,1.0213324120567286,0.0,False,0.95
2021-11-04,1.0,1.0,0.95,0.95,1.0213324120567286,1.0213324120567286,0.0,False,0.95
2021-11-05,1.0,1.0,0.95,0.95,1.0213324120567286,1.0213324120567286,0.0,False,0.95
2021-11-08,1.0,1.0,0.95,0.95,1.0213324120567286,1.0213324120567286,0.0,False,0.95
2021-11-09,1.0,1.0,0.95,0.95,1.0213324120567286,1.0213324120567286,0.0,False,0.95
2021-11-10,1.0,1.0,0.95,0.95,1.0213324120567286,1.0213324120567286,0.0,False,0.95
2021-11-11,1.0,1.0,0.95,0.95,1.0213324120567286,1.0213324120567286,0.0,False,0.95
2021-11-12,1.0,1.0,0.95,0.95,1.0213324120567286,1.0213324120567286,0.0,False,0.95
2021-11-15,1.0,1.0,0.95,0.95,1.0213324120567286,1.0213324120567286,0.0,False,0.95
2021-11-16,1.0,1.0,0.95,0.95,1.0213324120567286,1.0213324120567286,0.0,False,0.95
2021-11-17,1.0,1.0,0.95,0.95,1.0213324120567286,1.0213324120567286,0.0,False,0.95
2021-11-18,1.0,1.0,0.95,0.95,1.0213324120567286,1.0213324120567286,0.0,False,0.95
2021-11-19,1.0,1.0,0.95,0.95,1.0213324120567286,1.0213324120567286,0.0,False,0.95
2021-11-22,1.0,1.0,0.95,0.95,1.0213324120567286,1.0213324120567286,0.0,False,0.95
2021-11-23,1.0,1.0,0.95,0.95,1.0213324120567286,1.0213324120567286,0.0,False,0.95
2021-11-24,1.0,1.0,0.95,0.95,1.0213324120567286,1.0213324120567286,0.0,False,0.95
2021-11-25,1.0,1.0,0.95,0.95,1.0213324120567286,1.0213324120567286,0.0,False,0.95
2021-11-26,1.0,1.0,0.95,0.95,1.0213324120567286,1.0213324120567286,0.0,False,0.95
2021-11-30,1.0,1.0,0.95,0.95,1.0409743488217702,1.0409743488217702,0.0,True,0.95
2021-12-01,1.0,1.0,0.95,0.95,1.0409743488217702,1.0409743488217702,0.0,True,0.95
2021-12-02,1.0,1.0,0.95,0.95,1.0409743488217702,1.0409743488217702,0.0,True,0.95
2021-12-03,1.0,1.0,0.95,0.95,1.0409743488217702,1.0409743488217702,0.0,True,0.95
2021-12-06,1.0,1.0,0.95,0.95,1.0409743488217702,1.0409743488217702,0.0,True,0.95
2021-12-07,1.0,1.0,0.95,0.95,1.0409743488217702,1.0409743488217702,0.0,True,0.95
2021-12-08,1.0,1.0,0.95,0.95,1.0409743488217702,1.0409743488217702,0.0,True,0.95
2021-12-09,1.0,1.0,0.95,0.95,1.0409743488217702,1.0409743488217702,0.0,True,0.95
2021-12-10,1.0,1.0,0.95,0.95,1.0409743488217702,1.0409743488217702,0.0,True,0.95
2021-12-13,1.0,1.0,0.95,0.95,1.0409743488217702,1.0409743488217702,0.0,True,0.95
2021-12-14,1.0,1.0,0.95,0.95,1.0409743488217702,1.0409743488217702,0.0,True,0.95
2021-12-15,1.0,1.0,0.95,0.95,1.0409743488217702,1.0409743488217702,0.0,True,0.95
2021-12-16,1.0,1.0,0.95,0.95,1.0409743488217702,1.0409743488217702,0.0,True,0.95
2021-12-17,1.0,1.0,0.95,0.95,1.0409743488217702,1.0409743488217702,0.0,True,0.95
2021-12-20,1.0,1.0,0.95,0.95,1.0409743488217702,1.0409743488217702,0.0,True,0.95
2021-12-21,1.0,1.0,0.95,0.95,1.0409743488217702,1.0409743488217702,0.0,True,0.95
2021-12-22,1.0,1.0,0.95,0.95,1.0409743488217702,1.0409743488217702,0.0,True,0.95
2021-12-23,1.0,1.0,0.95,0.95,1.0409743488217702,1.0409743488217702,0.0,True,0.95
2021-12-24,1.0,1.0,0.95,0.95,1.0409743488217702,1.0409743488217702,0.0,True,0.95
2021-12-27,1.0,1.0,0.95,0.95,1.0409743488217702,1.0409743488217702,0.0,True,0.95
2021-12-28,1.0,1.0,0.95,0.95,1.0409743488217702,1.0409743488217702,0.0,True,0.95
